Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Italy,1992,0.834275454,31.56441613,1.79,443.284737497748,0.056797087,3.9209489928788326,0.30134,0.06792443299999999,283,0.0323687521445728,14.0,826,19
Italy,2012,-2.980905768,35.01947189,2.09,168.4956935879904,0.059539717,1.9106895985594476,0.30134,0.26954124,249,0.02548879107380489,27.0,962,28
Italy,2000,3.786955143,36.32924894,2.07,298.5416417330312,0.056942108,2.7402423864962544,0.30134,0.045303631,340,0.03458799593082401,35.0,925,34
Italy,1996,1.266784802,33.270919930000005,1.89,319.05213267146786,0.056860281,3.0159106267997715,0.30134,0.028104408,315,0.032953237786379326,19.0,841,35
Italy,2008,-0.962012841,37.653748,2.22,199.49992618799286,0.058826731,2.122002212228173,0.30134,0.6624692529999999,328,0.032610857029230465,32.0,963,27
Italy,2016,1.293462732,34.45920572,2.09,155.21254915650127,0.060627498,1.7134578378712024,0.30134,-0.169884073,267,0.02573990166779138,28.0,973,28
Italy,2004,1.4235941580000002,37.22714794,2.15,245.9984097447676,0.057685327,2.3329180330043444,0.30134,0.647182705,299,0.03079299691040165,34.0,927,32
Italy,1988,4.194377308,29.324639039999997,1.66,272.8337091466194,0.056629288,4.874269549720456,0.30134,0.048320597,246,0.03131364562118126,32.0,742,14
Chad,1992,8.001443346,0.5686032612999999,0.003614467644,0.89510521830427,0.006356748,0.4388338554860135,1.284,3.191444906,6,0.0006862632963513668,0.0,826,0
Chad,2012,8.882576072,0.9093123438,0.011625330987,0.9372335922701064,0.01278475,0.410275528269355,1.284,3.3707589380000003,2,0.00020472924557273008,0.0,962,0
Chad,2000,-0.879681025,0.4622542397,0.003862436487,0.557052236675624,0.008355654,0.4021016794407571,1.284,3.682718582,2,0.0002034587995930824,0.0,925,0
Chad,1996,2.214473035,0.4788586693,0.003472192239,0.5861430364541107,0.007250975,0.3845969835632622,1.284,3.3777557010000003,4,0.00041845381316037237,0.0,841,0
Chad,2008,3.052691532,0.806077947,0.009014843655,0.8101174071030611,0.011183588,0.403415217422985,1.284,3.32337145,2,0.0001988466892026248,0.0,963,0
Chad,2016,-6.255527085,0.8690586853,0.012654942309,0.9398114139752872,0.014561666,0.4115426425837761,1.284,3.143959589,2,0.00019280825219319386,0.0,973,0
Chad,2004,33.62937185,0.7368313343999999,0.007172881359,0.8207057709776222,0.009734767,0.3936948035571612,1.284,3.777276578,1,0.00010298661174047374,0.0,927,0
Chad,1988,15.48235907,0.5488912355,0.003068096721,0.5042651857897654,0.005589626,0.4811175412646147,1.284,3.2137177610000003,6,0.0007637474541751527,0.0,742,0
Argentina,1992,7.937291556,7.1573283110000006,0.24,59.43482513936284,0.033529326,2.314674641880948,2.7804,1.352181892,84,0.009607686148919136,2.0,826,2
